,city,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id
19545,Xinnongcun,Xinnongcun,42.2357,122.9455,China,CN,CHN,Liaoning,NA,21060.0,1156235883
19546,Alcudia,Alcudia,39.8525,3.1192,Spain,ES,ESP,Balearic Islands,NA,20819.0,1724681701
19547,Praia da Vitória,Praia da Vitoria,38.7333,-27.0667,Portugal,PT,PRT,Azores,NA,21035.0,1620566017
19548,Boralday,Boralday,43.3341,76.8288,Kazakhstan,KZ,KAZ,Almaty,NA,20996.0,1398737190
19549,Sun Valley,Sun Valley,39.6106,-119.7765,United States,US,USA,Nevada,NA,21159.0,1840018711
19550,Komatipoort,Komatipoort,-25.4333,31.95,South Africa,ZA,ZAF,Mpumalanga,NA,20508.0,1710137353
19551,Tigbao,Tigbao,7.8205,123.2277,Philippines,PH,PHL,Zamboanga del Sur,NA,20979.0,1608240626
19552,Barroso,Barroso,-21.1869,-43.9758,Brazil,BR,BRA,Minas Gerais,NA,20897.0,1076577038
19553,Anping,Anping,39.7034,116.8954,China,CN,CHN,Hebei,NA,20450.0,1156795683
19554,West Deptford,West Deptford,39.8431,-75.1851,United States,US,USA,New Jersey,NA,21149.0,1840081678
19555,Sidney,Sidney,40.2891,-84.1667,United States,US,USA,Ohio,NA,21148.0,1840009429
19556,Bonney Lake,Bonney Lake,47.1791,-122.17,United States,US,USA,Washington,NA,21148.0,1840018454
19557,Urucurituba,Urucurituba,-3.1308,-58.155,Brazil,BR,BRA,Amazonas,NA,21140.0,1076213551
19558,Taperoá,Taperoa,-13.5378,-39.0989,Brazil,BR,BRA,Bahia,NA,21091.0,1076531500
19559,Parabcan,Parabcan,13.7167,123.75,Philippines,PH,PHL,Camarines Sur,NA,20996.0,1608553429
19560,Ecclesall,Ecclesall,53.362,-1.498,United Kingdom,GB,GBR,Sheffield,NA,19211.0,1826986185
19561,Fröndenberg,Frondenberg,51.4719,7.7658,Germany,DE,DEU,North Rhine-Westphalia,NA,20766.0,1276071190
19562,Harstad,Harstad,68.7989,16.5314,Norway,NO,NOR,Troms,minor,21070.0,1578844884
19563,Villapinzón,Villapinzon,5.2158,-73.5967,Colombia,CO,COL,Cundinamarca,minor,21049.0,1170598594
19564,El Calafate,El Calafate,-50.3395,-72.2649,Argentina,AR,ARG,Santa Cruz,minor,21132.0,1032210475
19565,Dickinson,Dickinson,29.4546,-95.0583,United States,US,USA,Texas,NA,21129.0,1840019667
19566,Martha Lake,Martha Lake,47.8479,-122.2327,United States,US,USA,Washington,NA,21129.0,1840037875
19567,Cournon-d’Auvergne,Cournon-d'Auvergne,45.7422,3.1972,France,FR,FRA,Auvergne-Rhône-Alpes,NA,20043.0,1250524743
19568,Little Egg Harbor,Little Egg Harbor,39.5969,-74.3454,United States,US,USA,New Jersey,NA,21127.0,1840081598
19569,Bad Schwartau,Bad Schwartau,53.9194,10.6975,Germany,DE,DEU,Schleswig-Holstein,NA,20036.0,1276687859
19570,Faversham,Faversham,51.3177,0.8928,United Kingdom,GB,GBR,Kent,NA,19316.0,1826000093
19571,Vikhorevka,Vikhorevka,56.1167,101.1667,Russia,RU,RUS,Irkutskaya Oblast’,NA,21118.0,1643023865
19572,Welench’ītī,Welench'iti,8.6667,39.4333,Ethiopia,ET,ETH,Oromīya,NA,20984.0,1231349696
19573,Bothell West,Bothell West,47.8056,-122.2401,United States,US,USA,Washington,NA,21115.0,1840041906
19574,Bruchköbel,Bruchkobel,50.1833,8.9167,Germany,DE,DEU,Hesse,NA,20427.0,1276199010
19575,Jangy-Nookat,Jangy-Nookat,40.25,72.55,Kyrgyzstan,KG,KGZ,Osh,NA,21049.0,1417565816
19576,Fredonia,Fredonia,5.9267,-75.6739,Colombia,CO,COL,Antioquia,minor,20997.0,1170731658
19577,Werdau,Werdau,50.7333,12.3833,Germany,DE,DEU,Saxony,NA,20793.0,1276717054
19578,Stange,Stange,60.6494,11.3664,Norway,NO,NOR,Hedmark,minor,21064.0,1578696237
19579,Trecate,Trecate,45.4333,8.7333,Italy,IT,ITA,Piedmont,NA,20566.0,1380882788
19580,Pakil,Pakil,14.3833,121.4833,Philippines,PH,PHL,Laguna,NA,20659.0,1608247786
19581,Aspe,Aspe,38.3456,-0.7689,Spain,ES,ESP,Valencia,NA,20804.0,1724126700
19582,Pindobaçu,Pindobacu,-10.7428,-40.3628,Brazil,BR,BRA,Bahia,NA,21062.0,1076228908
19583,Arroio do Meio,Arroio do Meio,-29.4008,-51.945,Brazil,BR,BRA,Rio Grande do Sul,NA,20967.0,1076785789
19584,Imi n’Oulaoun,Imi n'Oulaoun,31.3094,-6.4992,Morocco,MA,MAR,Drâa-Tafilalet,NA,21061.0,1504402350
19585,Arnold,Arnold,38.4296,-90.3733,United States,US,USA,Missouri,NA,21091.0,1840007506
